dataset,reg,regd,us,usd,os,osd,ens,ensd,wens,wensd,cwens,cwensd
ecoli-0-1-3-7_vs_2-6,0.825,0.183,0.839,0.194,0.806,0.173,0.845,0.198,0.845,0.198,0.845,0.198
ecoli4,0.878,0.115,0.581,0.090,0.863,0.123,0.764,0.093,0.889,0.085,0.890,0.085
glass-0-1-6_vs_2,0.580,0.058,0.500,0.066,0.560,0.064,0.574,0.079,0.574,0.079,0.571,0.080
glass-0-1-6_vs_5,0.941,0.096,0.989,0.006,0.941,0.096,0.989,0.006,0.989,0.006,0.989,0.006
glass2,0.591,0.073,0.616,0.088,0.616,0.088,0.641,0.104,0.639,0.103,0.641,0.104
glass4,0.587,0.117,0.586,0.140,0.735,0.136,0.784,0.095,0.781,0.093,0.779,0.096
glass5,0.938,0.101,0.926,0.097,0.938,0.101,0.938,0.101,0.938,0.101,0.938,0.101
page-blocks-1-3_vs_4,0.763,0.090,0.829,0.073,0.794,0.048,0.832,0.074,0.832,0.074,0.832,0.074
shuttle-c0-vs-c4,0.991,0.010,0.999,0.001,0.991,0.010,0.994,0.008,0.994,0.008,0.994,0.008
shuttle-c2-vs-c4,0.996,0.008,0.942,0.096,0.988,0.024,0.988,0.016,0.992,0.010,0.992,0.010
vowel0,0.917,0.047,0.891,0.041,0.912,0.033,0.912,0.032,0.912,0.032,0.910,0.032
yeast-0-5-6-7-9_vs_4,0.504,0.019,0.795,0.073,0.501,0.016,0.623,0.149,0.656,0.140,0.643,0.145
yeast-1-2-8-9_vs_7,0.544,0.023,0.582,0.069,0.539,0.019,0.559,0.020,0.560,0.046,0.553,0.042
yeast-1-4-5-8_vs_7,0.547,0.026,0.543,0.016,0.539,0.025,0.558,0.042,0.546,0.057,0.556,0.069
yeast-1_vs_7,0.604,0.022,0.647,0.058,0.579,0.011,0.676,0.047,0.691,0.052,0.674,0.069
yeast-2_vs_4,0.561,0.037,0.762,0.098,0.532,0.028,0.825,0.071,0.828,0.074,0.822,0.069
yeast-2_vs_8,0.657,0.109,0.756,0.104,0.608,0.077,0.773,0.093,0.773,0.093,0.773,0.093
yeast4,0.551,0.034,0.655,0.131,0.532,0.027,0.722,0.129,0.769,0.138,0.760,0.126
yeast5,0.831,0.019,0.895,0.052,0.780,0.041,0.950,0.012,0.951,0.013,0.951,0.012
yeast6,0.650,0.037,0.757,0.116,0.626,0.036,0.831,0.031,0.860,0.043,0.844,0.039
ecoli-0-1-4-6_vs_5,0.877,0.111,0.767,0.167,0.890,0.126,0.662,0.188,0.810,0.153,0.810,0.153
ecoli-0-1-4-7_vs_2-3-5-6,0.630,0.085,0.630,0.085,0.662,0.136,0.630,0.085,0.630,0.085,0.630,0.085
ecoli-0-1-4-7_vs_5-6,0.735,0.163,0.635,0.150,0.854,0.106,0.617,0.149,0.617,0.149,0.617,0.149
ecoli-0-1_vs_2-3-5,0.638,0.186,0.558,0.047,0.635,0.182,0.558,0.047,0.558,0.047,0.558,0.047
ecoli-0-1_vs_5,0.782,0.203,0.782,0.192,0.795,0.188,0.664,0.162,0.666,0.164,0.689,0.164
ecoli-0-2-3-4_vs_5,0.754,0.111,0.658,0.201,0.603,0.059,0.656,0.141,0.683,0.124,0.683,0.124
ecoli-0-2-6-7_vs_3-5,0.563,0.097,0.580,0.042,0.603,0.139,0.563,0.057,0.613,0.135,0.588,0.091
ecoli-0-3-4-6_vs_5,0.784,0.061,0.709,0.087,0.730,0.127,0.862,0.072,0.887,0.079,0.865,0.068
ecoli-0-3-4-7_vs_5-6,0.775,0.115,0.693,0.152,0.753,0.123,0.613,0.077,0.633,0.081,0.673,0.117
