dataset,reg,regd,us,usd,os,osd,ens,ensd,wens,wensd,cwens,cwensd
ecoli-0-3-4_vs_5,0.817,0.099,0.747,0.110,0.736,0.127,0.683,0.060,0.708,0.049,0.731,0.080
ecoli-0-4-6_vs_5,0.854,0.146,0.699,0.185,0.890,0.116,0.867,0.122,0.878,0.104,0.876,0.108
ecoli-0-6-7_vs_3-5,0.508,0.041,0.535,0.053,0.552,0.059,0.548,0.086,0.548,0.086,0.548,0.086
ecoli-0-6-7_vs_5,0.780,0.098,0.645,0.143,0.858,0.098,0.688,0.130,0.787,0.168,0.762,0.144
glass-0-1-4-6_vs_2,0.577,0.124,0.620,0.055,0.592,0.091,0.630,0.083,0.628,0.082,0.628,0.082
glass-0-1-5_vs_2,0.519,0.068,0.558,0.100,0.527,0.097,0.549,0.111,0.539,0.101,0.542,0.104
glass-0-4_vs_5,0.994,0.012,0.994,0.012,0.994,0.012,0.994,0.012,0.994,0.012,0.994,0.012
glass-0-6_vs_5,0.945,0.098,0.979,0.031,0.945,0.098,0.995,0.010,0.995,0.010,0.995,0.010
led7digit-0-2-4-5-6-7-8-9_vs_1,0.836,0.054,0.881,0.078,0.894,0.060,0.882,0.078,0.882,0.078,0.882,0.078
yeast-0-2-5-6_vs_3-7-8-9,0.670,0.048,0.626,0.123,0.792,0.043,0.576,0.031,0.576,0.031,0.576,0.031
yeast-0-2-5-7-9_vs_3-6-8,0.577,0.028,0.636,0.134,0.520,0.012,0.880,0.042,0.889,0.044,0.881,0.042
yeast-0-3-5-9_vs_7-8,0.557,0.007,0.575,0.045,0.539,0.016,0.621,0.037,0.623,0.035,0.607,0.035
ecoli-0_vs_1,0.928,0.026,0.921,0.028,0.928,0.026,0.924,0.026,0.924,0.026,0.924,0.026
ecoli1,0.756,0.091,0.781,0.121,0.739,0.094,0.821,0.071,0.853,0.050,0.853,0.057
ecoli2,0.616,0.066,0.776,0.126,0.600,0.075,0.663,0.042,0.679,0.031,0.692,0.053
ecoli3,0.847,0.064,0.798,0.168,0.835,0.064,0.895,0.054,0.890,0.051,0.887,0.057
glass-0-1-2-3_vs_4-5-6,0.869,0.087,0.889,0.045,0.889,0.056,0.873,0.065,0.873,0.065,0.873,0.065
glass0,0.700,0.021,0.714,0.030,0.690,0.026,0.707,0.021,0.707,0.021,0.707,0.021
glass1,0.671,0.028,0.670,0.030,0.671,0.015,0.677,0.038,0.677,0.038,0.680,0.037
glass6,0.891,0.077,0.937,0.041,0.878,0.088,0.881,0.093,0.881,0.093,0.881,0.093
iris0,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000
new-thyroid1,0.983,0.016,0.978,0.019,0.967,0.023,0.972,0.018,0.972,0.018,0.972,0.018
new-thyroid2,0.986,0.012,0.978,0.011,0.975,0.010,0.975,0.010,0.975,0.010,0.975,0.010
pima,0.720,0.012,0.728,0.027,0.738,0.032,0.738,0.035,0.738,0.035,0.735,0.037
wisconsin,0.969,0.011,0.967,0.011,0.969,0.011,0.969,0.011,0.969,0.011,0.969,0.011
yeast1,0.519,0.010,0.514,0.007,0.514,0.008,0.512,0.007,0.512,0.007,0.513,0.008
yeast3,0.605,0.045,0.690,0.165,0.564,0.029,0.626,0.091,0.684,0.135,0.681,0.119
