dataset,reg,regd,us,usd,os,osd,ereg,eregd,ewei,eweid,ecwei,ecweid,enwei,enweid,encwei,encweid,eregr,eregrd,eweir,eweird,ecweir,ecweird,enweir,enweird,encweir,encweird,eregos,eregosd,eweios,eweiosd,ecweios,ecweiosd,enweios,enweiosd,encweios,encweiosd,eregros,eregrosd,eweiros,eweirosd,ecweiros,ecweirosd,enweiros,enweirosd,encweiros,encweirosd
vowel0,.977,.027,.939,.006,\cellcolor{green!25}.999,.001,.942,.008,.942,.008,.942,.007,.944,.007,.943,.007,.943,.008,.942,.008,.943,.009,.945,.010,.945,.011,.952,.007,.953,.007,.963,.007,.997,.004,.996,.004,.948,.009,.948,.009,.954,.009,.980,.006,.986,.008
yeast-0-5-6-7-9-vs-4,.667,.079,.792,.040,.795,.054,.781,.052,.781,.052,.785,.056,.786,.051,.790,.054,.779,.051,.779,.051,.785,.053,.785,.049,.787,.051,.810,.060,.824,.044,\cellcolor{green!25}.832,.046,.830,.066,.820,.065,.799,.058,.800,.057,.819,.050,.828,.066,.829,.068
yeast-1-2-8-9-vs-7,.499,.001,.652,.056,.627,.069,.644,.067,.645,.068,.662,.091,.665,.077,.663,.074,.659,.101,.660,.102,.655,.093,.645,.072,.659,.096,\cellcolor{green!25}.702,.092,.695,.081,.673,.063,.625,.070,.626,.069,.655,.072,.660,.075,.684,.075,.692,.066,.693,.099
yeast-1-4-5-8-vs-7,.499,.002,.590,.055,.615,.088,.576,.069,.574,.071,.597,.067,.593,.062,.592,.067,.571,.070,.571,.066,.602,.078,.571,.067,.584,.062,.622,.060,.628,.045,.614,.067,.612,.087,.609,.088,.594,.069,.607,.068,.623,.070,.636,.069,\cellcolor{green!25}.643,.078
yeast-1-vs-7,.517,.033,.682,.048,.705,.087,.698,.083,.699,.084,.695,.070,.705,.087,.697,.084,.730,.059,.729,.058,.736,.085,.733,.055,.742,.086,.737,.100,.743,.099,.712,.087,.700,.086,.700,.086,.745,.065,\cellcolor{green!25}.755,.064,.734,.085,.706,.079,.710,.087
yeast-2-vs-4,.819,.040,.908,.030,.885,.048,.915,.040,.915,.040,.914,.041,.907,.050,.908,.053,.914,.038,.914,.038,.912,.038,.917,.037,.917,.038,\cellcolor{green!25}.921,.041,\cellcolor{green!25}.921,.041,.913,.027,.906,.028,.906,.028,\cellcolor{green!25}.921,.041,.920,.040,.921,.035,.921,.038,.909,.028
yeast-2-vs-8,.774,.092,.734,.071,.803,.120,.715,.104,.715,.104,.740,.106,.719,.108,.719,.109,.721,.103,.721,.103,.728,.106,.727,.102,.734,.107,.782,.101,.782,.101,.778,.097,\cellcolor{green!25}.803,.118,\cellcolor{green!25}.803,.118,.738,.106,.738,.106,.752,.097,.755,.098,.758,.099
yeast4,.574,.045,.835,.036,.749,.094,.819,.016,.819,.017,.819,.017,.839,.024,.838,.025,.840,.025,.841,.025,.841,.027,.841,.025,.843,.026,.838,.032,.829,.050,.839,.045,.771,.105,.774,.109,.844,.028,.844,.028,.843,.022,.841,.039,\cellcolor{green!25}.852,.040
yeast5,.850,.056,.952,.003,.964,.025,.955,.006,.955,.006,.954,.006,.955,.006,.954,.006,.957,.004,.957,.004,.956,.005,.957,.004,.958,.005,.956,.006,.956,.006,.960,.007,.962,.020,\cellcolor{green!25}.967,.021,.958,.005,.958,.005,.958,.005,.960,.003,.960,.002
yeast6,.739,.098,.879,.054,.840,.091,.883,.053,.883,.053,.884,.053,.886,.052,.885,.053,.886,.054,.886,.054,.885,.054,.887,.054,.886,.054,.899,.055,\cellcolor{green!25}.900,.055,.892,.067,.840,.091,.865,.073,.887,.055,.887,.055,.888,.054,.893,.054,.895,.052
ecoli-0-1-4-6-vs-5,.898,.092,.886,.082,\cellcolor{green!25}.917,.097,.890,.094,.890,.094,.890,.094,.892,.095,.892,.095,.892,.095,.892,.095,.892,.095,.892,.095,.890,.096,.894,.097,.894,.097,.896,.098,.904,.095,.906,.096,.892,.095,.892,.095,.892,.095,.892,.095,.892,.095
ecoli-0-1-4-7-vs-2-3-5-6,.847,.027,.882,.046,.856,.054,.888,.053,.888,.053,.888,.053,.890,.056,.885,.055,.893,.054,.895,.055,.891,.056,.896,.055,.896,.051,.869,.054,.869,.054,.886,.045,.869,.047,.886,.041,.886,.070,.886,.070,.889,.064,\cellcolor{green!25}.904,.063,.902,.063
ecoli-0-1-4-7-vs-5-6,.838,.135,.883,.026,.899,.038,.886,.041,.886,.041,.888,.044,.868,.026,.868,.026,.883,.042,.885,.042,.881,.043,\cellcolor{green!25}.913,.043,.891,.043,.874,.023,.876,.022,.887,.020,.892,.025,.894,.029,.893,.044,.893,.044,.871,.025,.887,.028,.889,.027
ecoli-0-1-vs-2-3-5,.830,.060,.895,.085,.887,.082,.892,.085,.892,.085,.892,.085,\cellcolor{green!25}.914,.093,.894,.085,.892,.085,.892,.085,.872,.095,.892,.085,.872,.095,.872,.093,.865,.088,.867,.090,.885,.079,.885,.079,.874,.095,.874,.095,.872,.093,.883,.078,.863,.087
ecoli-0-1-vs-5,.900,.094,.902,.064,\cellcolor{green!25}.916,.065,.905,.066,.905,.066,.907,.069,.914,.062,.911,.064,.905,.066,.905,.066,.907,.069,.911,.064,.911,.064,.911,.064,.911,.064,.911,.064,.911,.064,.914,.062,.909,.067,.909,.067,.911,.064,.911,.064,.911,.064
ecoli-0-2-3-4-vs-5,.894,.130,.904,.099,\cellcolor{green!25}.909,.102,.900,.110,.900,.110,.900,.110,.895,.106,.897,.108,.900,.110,.900,.110,.903,.108,.900,.110,.903,.108,.900,.106,.900,.106,.900,.106,.900,.106,.900,.106,.900,.106,.900,.106,.900,.106,.900,.106,.900,.106
ecoli-0-2-6-7-vs-3-5,.787,.054,.814,.100,\cellcolor{green!25}.890,.050,.836,.097,.836,.097,.836,.097,.841,.092,.841,.092,.833,.101,.836,.104,.833,.096,.816,.115,.811,.110,.853,.083,.858,.081,.860,.077,.830,.099,.833,.096,.843,.093,.843,.093,.848,.093,.860,.077,.855,.076
ecoli-0-3-4-6-vs-5,.875,.079,.881,.068,\cellcolor{green!25}.911,.062,.887,.063,.887,.063,.874,.077,.890,.060,.890,.060,.887,.063,.887,.063,.879,.073,.890,.060,.890,.060,.893,.062,.893,.062,.895,.066,.901,.062,.901,.062,.893,.062,.893,.062,.890,.060,.895,.066,.895,.066
ecoli-0-3-4-7-vs-5-6,.876,.120,.887,.116,.894,.116,.904,.096,.904,.096,.902,.094,.917,.097,.917,.097,.904,.091,.904,.091,.902,.089,\cellcolor{green!25}.921,.084,.915,.081,.901,.123,.901,.123,.901,.112,.890,.111,.890,.111,.913,.090,.911,.094,.897,.121,.885,.113,.888,.109
ecoli-0-3-4-vs-5,.875,.112,.889,.099,\cellcolor{green!25}.911,.100,.903,.108,.903,.108,.903,.108,.903,.108,.900,.110,.900,.106,.900,.106,.903,.108,.903,.108,.900,.110,.906,.107,.906,.107,.906,.107,.903,.105,.903,.105,.906,.107,.906,.107,.906,.107,.903,.108,.903,.105
ecoli-0-4-6-vs-5,.900,.094,.889,.077,\cellcolor{green!25}.914,.092,.890,.106,.890,.106,.890,.106,.887,.104,.884,.102,.884,.102,.884,.102,.884,.102,.890,.106,.890,.106,.890,.106,.890,.106,.890,.106,.898,.111,.895,.110,.890,.106,.890,.106,.890,.106,.892,.107,.895,.110
ecoli-0-6-7-vs-3-5,.835,.161,.844,.144,\cellcolor{green!25}.893,.116,.860,.150,.860,.150,.860,.156,.872,.157,.875,.159,.857,.149,.857,.149,.855,.154,.872,.157,.867,.154,.875,.159,.875,.159,.855,.156,.865,.150,.863,.148,.865,.154,.870,.156,.870,.162,.863,.146,.858,.144
ecoli-0-6-7-vs-5,.847,.049,.850,.068,.863,.040,.853,.085,.853,.085,.850,.077,.868,.080,.863,.074,.860,.082,.860,.082,.858,.074,.870,.085,.872,.082,.878,.076,.878,.076,.880,.066,.863,.047,.885,.066,.865,.077,.865,.077,.872,.071,\cellcolor{green!25}.890,.071,.887,.068
glass-0-1-4-6-vs-2,.512,.057,.681,.031,.732,.071,.715,.041,.715,.041,.706,.046,.712,.042,.725,.037,.717,.039,.712,.042,.712,.045,.714,.044,.717,.046,.731,.078,.717,.069,.701,.088,.718,.075,.716,.074,.741,.040,\cellcolor{green!25}.749,.042,.747,.081,.734,.062,.727,.086
glass-0-1-5-vs-2,.527,.071,.651,.046,.656,.080,.684,.049,.650,.064,.653,.075,.663,.070,.653,.077,.674,.053,.674,.053,.650,.071,.653,.065,.650,.071,.705,.080,.728,.084,.748,.083,\cellcolor{green!25}.767,.072,.740,.059,.676,.072,.695,.081,.712,.097,.745,.089,.758,.080
glass-0-4-vs-5,.850,.122,.917,.042,\cellcolor{green!25}.988,.015,.932,.054,.932,.054,.939,.044,.932,.054,.932,.054,.939,.044,.939,.044,.944,.050,.939,.044,.944,.050,.951,.047,.951,.047,.951,.047,.951,.047,.951,.047,.951,.047,.951,.047,.951,.047,.951,.047,.951,.047
glass-0-6-vs-5,.745,.158,.816,.052,\cellcolor{green!25}.985,.012,.873,.018,.873,.018,.873,.018,.868,.013,.868,.013,.868,.021,.868,.021,.873,.018,.878,.021,.878,.021,.883,.023,.898,.044,.928,.058,.953,.056,.953,.056,.878,.021,.878,.021,.878,.021,.913,.062,.933,.063
yeast-0-2-5-6-vs-3-7-8-9,.762,.049,.760,.044,.784,.052,.784,.046,.784,.045,.786,.047,.781,.046,.784,.050,.785,.045,.785,.045,.790,.048,.786,.045,.790,.048,.801,.040,\cellcolor{green!25}.802,.040,.800,.044,.791,.051,.798,.044,.793,.042,.798,.039,.800,.039,.795,.036,.798,.037
yeast-0-2-5-7-9-vs-3-6-8,.902,.023,.902,.017,.904,.015,.909,.017,.909,.017,.908,.017,.911,.016,.911,.016,.904,.015,.904,.015,.908,.016,.906,.016,.910,.018,\cellcolor{green!25}.913,.019,\cellcolor{green!25}.913,.019,.902,.028,.900,.023,.900,.024,.909,.017,.913,.019,.912,.017,.896,.024,.895,.024
yeast-0-3-5-9-vs-7-8,.639,.059,.702,.042,.718,.046,.757,.034,.757,.034,.755,.040,.746,.055,.753,.039,.748,.040,.748,.040,.757,.034,.749,.040,.754,.044,.759,.051,.742,.048,.739,.047,.731,.066,.730,.065,\cellcolor{green!25}.770,.035,.767,.037,.750,.067,.723,.076,.734,.068
