dataset,reg,regd,us,usd,os,osd,ereg,eregd,ewei,eweid,ecwei,ecweid,enwei,enweid,encwei,encweid,eregr,eregrd,eweir,eweird,ecweir,ecweird,enweir,enweird,encweir,encweird,eregos,eregosd,eweios,eweiosd,ecweios,ecweiosd,enweios,enweiosd,encweios,encweiosd,eregros,eregrosd,eweiros,eweirosd,ecweiros,ecweirosd,enweiros,enweirosd,encweiros,encweirosd
ecoli-0-1-3-7-vs-2-6,.850,.200,.835,.165,.835,.192,.836,.187,.836,.187,.836,.187,.847,.183,.849,.184,.845,.191,.845,.191,.847,.183,.844,.190,.845,.183,.830,.188,.830,.188,.832,.189,.835,.192,.834,.190,.854,.187,.853,.186,.851,.185,.853,.186,\cellcolor{green!25}.856,.183
ecoli4,.848,.122,.928,.025,.909,.062,.941,.020,.941,.020,.945,.016,.949,.013,.949,.013,.940,.023,.940,.023,.940,.023,.921,.043,.945,.021,.964,.015,.967,.009,\cellcolor{green!25}.972,.006,.909,.059,.909,.059,.945,.019,.945,.019,.945,.019,.940,.044,.943,.042
glass-0-1-6-vs-2,.555,.068,.666,.063,.656,.077,.718,.065,.718,.065,.718,.075,.715,.070,.724,.076,.732,.044,.735,.046,.726,.056,.746,.049,.699,.076,.717,.078,.751,.090,\cellcolor{green!25}.760,.072,.750,.060,.728,.054,.705,.068,.705,.068,.737,.077,.758,.098,.735,.055
glass-0-1-6-vs-5,.739,.163,.852,.030,\cellcolor{green!25}.933,.099,.880,.037,.880,.037,.880,.037,.883,.040,.883,.040,.830,.098,.877,.038,.880,.037,.880,.037,.880,.037,.836,.107,.839,.102,.853,.101,.879,.120,.879,.120,.833,.099,.833,.099,.836,.101,.833,.099,.841,.102
glass2,.485,.015,.678,.019,.715,.067,.696,.059,.696,.059,.724,.056,.721,.047,.719,.053,.701,.065,.724,.049,.718,.054,.724,.054,.724,.048,.737,.070,\cellcolor{green!25}.757,.062,.746,.124,.756,.117,.756,.117,.726,.077,.732,.073,.731,.086,.723,.113,.746,.111
glass4,.781,.127,.865,.109,\cellcolor{green!25}.925,.089,.861,.112,.861,.112,.861,.112,.878,.114,.875,.113,.861,.112,.861,.112,.861,.112,.863,.114,.863,.114,.868,.109,.868,.109,.888,.106,.905,.115,.913,.100,.861,.112,.861,.112,.861,.112,.888,.124,.898,.123
glass5,.695,.186,.811,.127,.830,.202,.823,.129,.823,.129,.826,.124,.830,.126,.830,.126,.813,.118,.813,.118,.813,.118,.813,.118,.816,.119,.838,.130,.843,.133,\cellcolor{green!25}.879,.149,.801,.204,.873,.127,.816,.119,.813,.118,.826,.124,.821,.121,.833,.127
page-blocks-1-3-vs-4,.808,.089,.872,.030,.917,.038,.868,.030,.868,.030,.874,.026,.877,.042,.877,.040,.867,.035,.871,.031,.866,.034,.902,.025,.897,.026,.901,.036,.907,.034,\cellcolor{green!25}.926,.028,.909,.039,.924,.039,.874,.031,.875,.032,.881,.034,.917,.029,.920,.029
shuttle-c0-vs-c4,\cellcolor{green!25}.996,.008,.996,.008,.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008,\cellcolor{green!25}.996,.008
shuttle-c2-vs-c4,.600,.200,.845,.073,\cellcolor{green!25}.000,.000,.859,.071,.859,.071,.859,.071,.891,.082,.859,.071,.879,.072,.883,.074,.850,.055,.883,.074,.850,.055,.996,.008,\cellcolor{green!25}.000,.000,\cellcolor{green!25}.000,.000,\cellcolor{green!25}.000,.000,\cellcolor{green!25}.000,.000,.887,.078,.887,.078,.906,.078,.927,.083,.996,.008
