dataset,reg,regd,us,usd,os,osd,ereg,eregd,ewei,eweid,ecwei,ecweid,enwei,enweid,encwei,encweid,eregr,eregrd,eweir,eweird,ecweir,ecweird,enweir,enweird,encweir,encweird,eregos,eregosd,eweios,eweiosd,ecweios,ecweiosd,enweios,enweiosd,encweios,encweiosd,eregros,eregrosd,eweiros,eweirosd,ecweiros,ecweirosd,enweiros,enweirosd,encweiros,encweirosd
ecoli-0-1-3-7-vs-2-6,.739,.222,.772,.056,.639,.188,.705,.208,.805,.160,.703,.206,.811,.163,.811,.163,.809,.167,.809,.167,.809,.167,.823,.175,.823,.175,.714,.203,.716,.205,.718,.198,.747,.227,.653,.202,.809,.167,.816,.171,.816,.171,\cellcolor{green!25}.827,.176,\cellcolor{green!25}.827,.176
ecoli4,.861,.131,.858,.060,.817,.119,.865,.046,.865,.046,.866,.048,\cellcolor{green!25}.903,.068,\cellcolor{green!25}.903,.068,.878,.054,.878,.054,.878,.054,.878,.054,.878,.054,.849,.071,.849,.071,.851,.071,.835,.119,.835,.119,.878,.054,.878,.054,.878,.054,.859,.084,.859,.084
glass-0-1-6-vs-2,.552,.127,.656,.064,.575,.076,.785,.142,.785,.142,.782,.148,.713,.168,.760,.134,.794,.142,.788,.141,.788,.141,\cellcolor{green!25}.846,.053,\cellcolor{green!25}.846,.053,.777,.150,.716,.165,.722,.172,.654,.182,.599,.115,.783,.118,.805,.135,.805,.135,.761,.151,.761,.151
glass-0-1-6-vs-5,.886,.123,.898,.031,.869,.192,.931,.038,.931,.038,.931,.038,.934,.039,.937,.041,.934,.040,.934,.040,.934,.040,.940,.044,.940,.044,.934,.040,.934,.040,.934,.040,\cellcolor{green!25}.954,.051,\cellcolor{green!25}.954,.051,.934,.040,.934,.040,.934,.040,.946,.047,.946,.047
glass2,.609,.150,.654,.047,.630,.083,.779,.053,.779,.053,.785,.048,.792,.051,.792,.046,\cellcolor{green!25}.833,.062,.828,.067,.828,.067,.766,.042,.766,.042,.802,.047,.805,.051,.807,.051,.670,.096,.677,.101,.782,.039,.782,.039,.782,.039,.703,.091,.703,.091
glass4,.799,.153,.829,.119,.815,.135,.880,.094,.880,.094,.873,.098,.895,.094,.885,.095,.903,.086,.903,.086,.903,.086,.908,.087,.908,.087,.895,.100,.900,.102,.900,.102,.915,.084,\cellcolor{green!25}.918,.085,.903,.086,.903,.086,.903,.086,.913,.089,.913,.089
glass5,.898,.199,.873,.081,.933,.129,.934,.044,.934,.044,.937,.040,.949,.031,.949,.031,.934,.039,.934,.039,.934,.039,.951,.030,.951,.030,.946,.039,.949,.037,.949,.037,.956,.032,\cellcolor{green!25}.963,.034,.939,.033,.939,.033,.939,.033,.956,.033,.956,.033
page-blocks-1-3-vs-4,.996,.006,.959,.015,\cellcolor{green!25}.998,.004,.987,.012,.987,.012,.988,.011,.991,.006,.990,.007,.990,.007,.990,.007,.990,.007,.990,.007,.990,.007,.990,.010,.990,.010,.989,.012,.994,.007,.994,.007,.990,.007,.990,.007,.990,.007,.991,.006,.991,.006
shuttle-c0-vs-c4,\cellcolor{green!25}1,.000,.000,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000
shuttle-c2-vs-c4,.950,.100,.965,.036,.995,.010,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,.950,.100,.950,.100,.950,.100,.950,.100,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000,\cellcolor{green!25}1,.000
vowel0,.943,.052,.942,.034,.925,.041,.964,.028,.964,.028,.964,.028,.965,.029,.965,.029,.966,.029,.964,.028,.964,.028,.964,.028,.964,.028,.958,.030,.958,.030,.958,.030,.956,.030,.956,.030,.966,.029,.966,.029,.966,.029,\cellcolor{green!25}.968,.030,\cellcolor{green!25}.968,.030
yeast-0-5-6-7-9-vs-4,.648,.103,.746,.062,.660,.065,.770,.049,.769,.047,.769,.046,.784,.057,.782,.060,.784,.048,.782,.050,.782,.050,\cellcolor{green!25}.787,.057,\cellcolor{green!25}.787,.057,.772,.055,.774,.053,.777,.053,.728,.105,.715,.070,.776,.052,.771,.056,.771,.056,.753,.087,.753,.087
yeast-1-2-8-9-vs-7,.631,.090,.631,.017,.623,.052,.685,.077,.687,.079,.665,.046,.653,.077,.651,.077,.721,.056,.721,.056,.721,.056,.714,.052,.714,.052,.685,.024,.679,.046,.641,.046,.602,.077,.598,.082,\cellcolor{green!25}.740,.060,.737,.059,.737,.059,.726,.047,.726,.047
yeast-1-4-5-8-vs-7,.533,.035,.569,.042,.541,.040,.596,.034,.598,.035,.599,.034,.601,.036,.601,.036,\cellcolor{green!25}.619,.025,.605,.029,.605,.029,.610,.032,.610,.032,.591,.021,.599,.019,.576,.054,.540,.054,.549,.063,.618,.025,.618,.025,.618,.025,.608,.032,.608,.032
yeast-1-vs-7,.651,.054,.692,.030,.603,.070,.697,.029,.698,.027,.697,.027,.691,.083,.706,.070,.701,.039,.690,.035,.690,.035,.680,.042,.680,.042,.726,.065,.731,.065,\cellcolor{green!25}.735,.061,.710,.071,.696,.059,.717,.053,.717,.053,.717,.053,.718,.044,.718,.044
yeast-2-vs-4,.843,.070,.904,.020,.831,.037,.951,.012,.951,.012,.951,.012,\cellcolor{green!25}.958,.016,\cellcolor{green!25}.958,.016,.943,.019,.943,.019,.943,.019,.957,.015,.957,.015,.937,.021,.937,.021,.937,.021,.901,.018,.902,.018,.937,.021,.937,.021,.937,.021,.918,.033,.918,.033
yeast-2-vs-8,.690,.128,.726,.049,.692,.102,.771,.144,.772,.146,.795,.111,.775,.142,.770,.142,.817,.110,.817,.110,.817,.110,.748,.120,.748,.120,.801,.152,.808,.151,\cellcolor{green!25}.817,.146,.716,.087,.716,.087,.760,.122,.755,.121,.755,.121,.770,.120,.770,.120
