dataset,reg,regd,us,usd,os,osd,ereg,eregd,ewei,eweid,ecwei,ecweid,enwei,enweid,encwei,encweid,eregr,eregrd,eweir,eweird,ecweir,ecweird,enweir,enweird,encweir,encweird,eregos,eregosd,eweios,eweiosd,ecweios,ecweiosd,enweios,enweiosd,encweios,encweiosd,eregros,eregrosd,eweiros,eweirosd,ecweiros,ecweirosd,enweiros,enweirosd,encweiros,encweirosd
yeast4,.664,.040,.805,.036,.621,.049,.853,.054,.853,.055,.842,.075,.854,.054,\cellcolor{green!25}.872,.043,.854,.060,.852,.061,.852,.061,.858,.061,.858,.061,.840,.080,.833,.071,.818,.065,.710,.088,.684,.111,.845,.056,.845,.056,.845,.056,.862,.056,.862,.056
yeast5,.843,.086,.932,.022,.850,.037,.961,.020,.961,.020,.959,.020,.960,.019,.960,.019,.965,.022,.965,.022,.965,.022,.966,.022,.966,.022,.966,.021,.966,.021,.955,.030,.962,.026,.963,.027,.967,.023,.966,.023,.966,.023,\cellcolor{green!25}.968,.023,\cellcolor{green!25}.968,.023
yeast6,.746,.120,.813,.052,.751,.085,.858,.049,.858,.049,.858,.050,.865,.053,.862,.052,.847,.055,.847,.055,.847,.055,.852,.053,.852,.053,\cellcolor{green!25}.872,.052,.863,.060,.855,.062,.765,.058,.768,.059,.852,.055,.850,.054,.850,.054,.855,.053,.855,.053
ecoli-0-1-4-6-vs-5,.775,.165,.813,.091,.800,.139,.902,.101,.902,.101,.900,.100,\cellcolor{green!25}.904,.104,\cellcolor{green!25}.904,.104,.883,.103,.883,.103,.883,.103,.890,.102,.890,.102,.860,.119,.860,.119,.858,.117,.842,.152,.819,.194,.867,.120,.863,.117,.863,.117,.867,.120,.867,.120
ecoli-0-1-4-7-vs-2-3-5-6,.814,.088,.805,.039,.795,.005,.847,.045,.847,.045,.848,.046,.853,.042,.865,.058,.845,.045,.842,.041,.842,.041,.833,.047,.833,.047,.849,.054,.848,.055,.851,.060,.874,.060,\cellcolor{green!25}.875,.063,.845,.045,.843,.046,.843,.046,.854,.049,.854,.049
ecoli-0-1-4-7-vs-5-6,.865,.071,.801,.037,.853,.071,.883,.032,.881,.030,.860,.029,.856,.027,.856,.027,.869,.033,.883,.030,.883,.030,\cellcolor{green!25}.886,.030,\cellcolor{green!25}.886,.030,.869,.033,.869,.033,.869,.033,.859,.061,.866,.052,.869,.033,.869,.033,.869,.033,.862,.063,.862,.063
ecoli-0-1-vs-2-3-5,.762,.103,.808,.062,.745,.106,.820,.121,.820,.121,\cellcolor{green!25}.842,.137,.822,.124,.822,.124,.837,.135,.837,.135,.837,.135,.797,.102,.797,.102,.804,.121,.804,.121,.804,.121,.771,.091,.773,.094,.804,.121,.804,.121,.804,.121,.786,.101,.786,.101
ecoli-0-1-vs-5,\cellcolor{green!25}.861,.117,.826,.076,.810,.120,.816,.102,.816,.102,.816,.102,.816,.100,.816,.100,.825,.097,.825,.097,.825,.097,.836,.105,.836,.105,.830,.105,.830,.105,.832,.102,.843,.106,.845,.109,.839,.110,.834,.105,.834,.105,.841,.110,.841,.110
ecoli-0-2-3-4-vs-5,.808,.055,.847,.065,.828,.092,.834,.093,.834,.093,.834,.093,.814,.074,.811,.073,.817,.100,.817,.100,.817,.100,.847,.089,.847,.089,\cellcolor{green!25}.856,.092,\cellcolor{green!25}.856,.092,\cellcolor{green!25}.856,.092,.839,.098,.842,.099,.828,.103,.828,.103,.828,.103,.836,.105,.836,.105
ecoli-0-2-6-7-vs-3-5,.795,.118,.797,.074,.800,.102,.815,.081,.815,.081,.815,.081,.820,.082,.820,.082,.820,.086,.818,.082,.818,.082,.823,.083,.823,.083,.835,.095,.835,.095,.835,.095,.803,.102,.803,.102,.820,.086,.820,.086,.820,.086,\cellcolor{green!25}.840,.095,\cellcolor{green!25}.840,.095
ecoli-0-3-4-6-vs-5,.781,.130,.846,.032,.810,.058,.907,.070,.907,.070,.904,.072,.929,.070,\cellcolor{green!25}.932,.070,.901,.067,.901,.067,.901,.067,.907,.070,.907,.070,.915,.076,.915,.076,.915,.076,.878,.057,.881,.053,.923,.064,.915,.076,.915,.076,.893,.066,.893,.066
ecoli-0-3-4-7-vs-5-6,.818,.042,.812,.074,.823,.122,.886,.070,.886,.070,.886,.070,.884,.074,.884,.074,.884,.068,.884,.068,.884,.068,.890,.062,.890,.062,.881,.068,.881,.068,.881,.068,.894,.070,\cellcolor{green!25}.896,.072,.885,.064,.883,.065,.883,.065,.892,.065,.892,.065
ecoli-0-3-4-vs-5,.856,.104,.864,.052,.854,.113,.928,.049,.928,.049,.928,.049,.928,.049,.928,.049,\cellcolor{green!25}.931,.050,\cellcolor{green!25}.931,.050,\cellcolor{green!25}.931,.050,.908,.057,.908,.057,.917,.060,.917,.060,.917,.060,.897,.100,.897,.100,.917,.060,.917,.060,.917,.060,.897,.100,.897,.100
ecoli-0-4-6-vs-5,.834,.050,.858,.037,.825,.101,.901,.034,.901,.034,.881,.052,.862,.085,.859,.081,\cellcolor{green!25}.906,.033,\cellcolor{green!25}.906,.033,\cellcolor{green!25}.906,.033,.890,.049,.890,.049,.895,.062,.895,.062,.901,.068,.861,.080,.861,.080,.901,.061,.901,.061,.901,.061,.884,.091,.884,.091
ecoli-0-6-7-vs-3-5,.828,.182,.805,.130,.847,.146,.828,.141,.828,.141,.828,.141,.835,.137,.832,.136,.838,.146,.838,.146,.838,.146,.845,.144,.845,.144,.850,.151,.850,.151,.853,.152,.853,.159,.853,.159,.857,.158,.857,.158,.857,.158,\cellcolor{green!25}.863,.154,\cellcolor{green!25}.863,.154
ecoli-0-6-7-vs-5,.770,.124,.815,.041,.826,.097,.865,.066,.865,.066,.865,.066,.878,.059,.878,.059,.875,.071,.873,.067,.873,.067,.885,.059,.885,.059,.872,.071,.872,.071,.872,.071,.870,.054,.875,.063,.875,.071,.875,.071,.875,.071,\cellcolor{green!25}.895,.074,\cellcolor{green!25}.895,.074
glass-0-1-4-6-vs-2,.615,.140,.674,.052,.659,.086,.810,.073,.807,.074,.804,.072,.810,.045,.810,.058,\cellcolor{green!25}.829,.044,\cellcolor{green!25}.829,.044,\cellcolor{green!25}.829,.044,.747,.052,.747,.052,.814,.071,.816,.074,.808,.082,.686,.107,.692,.108,.778,.066,.778,.066,.778,.066,.759,.054,.759,.054
glass-0-1-5-vs-2,.570,.056,.638,.073,.566,.075,.777,.090,.777,.090,.777,.090,.783,.093,.783,.093,.743,.138,\cellcolor{green!25}.786,.074,\cellcolor{green!25}.786,.074,.782,.080,.782,.080,.738,.142,.738,.142,.738,.137,.574,.099,.534,.065,.738,.142,.735,.142,.735,.142,.653,.087,.653,.087
glass-0-4-vs-5,\cellcolor{green!25}.994,.012,.946,.033,.994,.012,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024,.982,.024
glass-0-6-vs-5,.940,.096,.880,.051,.960,.068,.929,.038,.929,.038,.939,.045,.934,.047,.944,.049,.934,.042,.934,.042,.934,.042,.965,.046,.965,.046,.949,.053,.949,.053,.954,.049,\cellcolor{green!25}.970,.048,\cellcolor{green!25}.970,.048,.965,.046,.960,.044,.960,.044,.965,.046,.965,.046
yeast-0-2-5-6-vs-3-7-8-9,.742,.036,.717,.035,.705,.021,.759,.069,.759,.070,.763,.073,.758,.078,.762,.071,.767,.060,.767,.060,.767,.060,.777,.056,.777,.056,.779,.075,.780,.074,.782,.072,.749,.035,.725,.032,\cellcolor{green!25}.782,.070,.780,.071,.780,.071,.782,.042,.782,.042
yeast-0-2-5-7-9-vs-3-6-8,.850,.020,.862,.023,.861,.037,.901,.038,.900,.038,.899,.038,.894,.038,.894,.038,.893,.031,.893,.031,.893,.031,.894,.034,.894,.034,.907,.032,.907,.032,.907,.032,.890,.029,.893,.028,\cellcolor{green!25}.907,.033,.907,.032,.907,.032,.902,.029,.902,.029
yeast-0-3-5-9-vs-7-8,.670,.037,.642,.050,.586,.049,.694,.038,.694,.038,.694,.038,.717,.041,.701,.039,.714,.055,.714,.055,.714,.055,\cellcolor{green!25}.725,.039,\cellcolor{green!25}.725,.039,.707,.046,.714,.043,.700,.034,.598,.102,.593,.112,.717,.039,.710,.039,.710,.039,.658,.053,.658,.053
