dataset,reg,regd,us,usd,os,osd,ens,ensd,wens,wensd,cwens,cwensd
ecoli-0-1-3-7_vs_2-6,0.825,0.183,0.832,0.190,0.806,0.173,0.845,0.198,0.835,0.192,0.837,0.193
ecoli4,0.878,0.115,0.798,0.177,0.859,0.121,0.737,0.108,0.918,0.080,0.915,0.085
glass-0-1-6_vs_2,0.580,0.058,0.562,0.094,0.583,0.070,0.577,0.082,0.563,0.063,0.560,0.063
glass-0-1-6_vs_5,0.941,0.096,0.941,0.096,0.941,0.096,0.989,0.006,0.989,0.006,0.989,0.006
glass2,0.591,0.073,0.580,0.066,0.644,0.100,0.641,0.099,0.616,0.088,0.619,0.091
glass4,0.587,0.117,0.663,0.123,0.704,0.084,0.814,0.100,0.815,0.104,0.815,0.104
glass5,0.938,0.101,0.980,0.027,0.938,0.101,0.938,0.101,0.938,0.101,0.938,0.101
page-blocks-1-3_vs_4,0.763,0.090,0.793,0.078,0.794,0.048,0.832,0.074,0.825,0.072,0.824,0.070
shuttle-c0-vs-c4,0.991,0.010,0.998,0.002,0.991,0.010,0.994,0.008,0.991,0.011,0.991,0.011
shuttle-c2-vs-c4,0.996,0.008,0.930,0.091,0.988,0.024,0.992,0.016,0.996,0.008,0.996,0.008
vowel0,0.917,0.047,0.906,0.027,0.905,0.038,0.910,0.032,0.910,0.032,0.910,0.032
yeast-0-5-6-7-9_vs_4,0.504,0.019,0.657,0.136,0.498,0.016,0.690,0.140,0.790,0.060,0.796,0.057
yeast-1-2-8-9_vs_7,0.544,0.023,0.602,0.094,0.541,0.024,0.563,0.019,0.654,0.098,0.648,0.060
yeast-1-4-5-8_vs_7,0.547,0.026,0.559,0.036,0.539,0.023,0.575,0.022,0.594,0.059,0.573,0.053
yeast-1_vs_7,0.604,0.022,0.665,0.067,0.585,0.018,0.688,0.072,0.721,0.066,0.713,0.064
yeast-2_vs_4,0.561,0.037,0.794,0.151,0.531,0.027,0.819,0.049,0.854,0.046,0.858,0.047
yeast-2_vs_8,0.657,0.109,0.767,0.095,0.614,0.096,0.773,0.093,0.773,0.093,0.773,0.093
yeast4,0.551,0.034,0.707,0.131,0.531,0.028,0.757,0.130,0.811,0.045,0.800,0.053
yeast5,0.831,0.019,0.898,0.007,0.780,0.028,0.926,0.016,0.957,0.007,0.956,0.007
yeast6,0.650,0.037,0.848,0.096,0.631,0.033,0.810,0.062,0.873,0.046,0.878,0.048
