dataset,reg,regd,us,usd,os,osd,ens,ensd,wens,wensd,cwens,cwensd
ecoli-0-1-4-6_vs_5,0.877,0.111,0.796,0.131,0.887,0.139,0.662,0.188,0.910,0.096,0.912,0.097
ecoli-0-1-4-7_vs_2-3-5-6,0.630,0.085,0.630,0.085,0.663,0.139,0.630,0.085,0.672,0.159,0.675,0.160
ecoli-0-1-4-7_vs_5-6,0.735,0.163,0.617,0.149,0.869,0.100,0.617,0.149,0.822,0.100,0.821,0.101
ecoli-0-1_vs_2-3-5,0.638,0.186,0.631,0.173,0.635,0.182,0.558,0.047,0.715,0.170,0.718,0.174
ecoli-0-1_vs_5,0.782,0.203,0.643,0.141,0.802,0.187,0.616,0.149,0.816,0.171,0.816,0.171
ecoli-0-2-3-4_vs_5,0.754,0.111,0.656,0.213,0.627,0.074,0.717,0.060,0.870,0.112,0.872,0.115
ecoli-0-2-6-7_vs_3-5,0.563,0.097,0.641,0.187,0.573,0.116,0.613,0.135,0.568,0.107,0.593,0.125
ecoli-0-3-4-6_vs_5,0.784,0.061,0.748,0.188,0.695,0.093,0.876,0.057,0.882,0.043,0.879,0.045
ecoli-0-3-4-7_vs_5-6,0.775,0.115,0.593,0.072,0.727,0.127,0.633,0.105,0.809,0.200,0.807,0.198
ecoli-0-3-4_vs_5,0.817,0.099,0.717,0.159,0.719,0.137,0.708,0.093,0.908,0.102,0.908,0.102
ecoli-0-4-6_vs_5,0.854,0.146,0.668,0.164,0.899,0.114,0.828,0.107,0.901,0.110,0.901,0.110
ecoli-0-6-7_vs_3-5,0.508,0.041,0.510,0.046,0.578,0.095,0.548,0.086,0.585,0.146,0.563,0.150
ecoli-0-6-7_vs_5,0.780,0.098,0.605,0.153,0.847,0.094,0.665,0.070,0.855,0.073,0.843,0.090
glass-0-1-4-6_vs_2,0.577,0.124,0.600,0.081,0.564,0.118,0.623,0.096,0.586,0.087,0.586,0.087
glass-0-1-5_vs_2,0.519,0.068,0.536,0.047,0.505,0.074,0.541,0.123,0.574,0.088,0.561,0.079
glass-0-4_vs_5,0.994,0.012,0.994,0.012,0.994,0.012,0.994,0.012,0.994,0.012,0.994,0.012
glass-0-6_vs_5,0.945,0.098,0.990,0.012,0.945,0.098,0.995,0.010,0.995,0.010,0.995,0.010
led7digit-0-2-4-5-6-7-8-9_vs_1,0.836,0.054,0.865,0.065,0.871,0.080,0.868,0.064,0.868,0.064,0.882,0.078
yeast-0-2-5-6_vs_3-7-8-9,0.670,0.048,0.571,0.028,0.779,0.045,0.576,0.031,0.784,0.056,0.760,0.066
yeast-0-2-5-7-9_vs_3-6-8,0.577,0.028,0.673,0.108,0.519,0.008,0.899,0.033,0.901,0.030,0.895,0.043
yeast-0-3-5-9_vs_7-8,0.557,0.007,0.660,0.077,0.531,0.018,0.623,0.045,0.613,0.045,0.606,0.034
ecoli-0_vs_1,0.928,0.026,0.934,0.056,0.924,0.026,0.924,0.026,0.921,0.028,0.921,0.028
ecoli1,0.756,0.091,0.723,0.174,0.723,0.082,0.819,0.077,0.849,0.040,0.860,0.042
ecoli2,0.616,0.066,0.759,0.153,0.604,0.064,0.674,0.038,0.760,0.070,0.757,0.070
ecoli3,0.847,0.064,0.797,0.182,0.837,0.062,0.833,0.094,0.888,0.047,0.885,0.050
glass-0-1-2-3_vs_4-5-6,0.869,0.087,0.868,0.083,0.866,0.084,0.870,0.070,0.886,0.053,0.886,0.053
glass0,0.700,0.021,0.718,0.016,0.711,0.036,0.714,0.030,0.704,0.028,0.707,0.042
glass1,0.671,0.028,0.669,0.020,0.663,0.037,0.667,0.035,0.663,0.012,0.660,0.014
glass6,0.891,0.077,0.932,0.034,0.872,0.081,0.881,0.095,0.886,0.098,0.883,0.098
iris0,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000
new-thyroid1,0.983,0.016,0.975,0.020,0.972,0.018,0.972,0.018,0.978,0.017,0.978,0.017
new-thyroid2,0.986,0.012,0.981,0.011,0.972,0.012,0.975,0.010,0.981,0.014,0.981,0.014
pima,0.720,0.012,0.726,0.021,0.737,0.034,0.733,0.033,0.739,0.033,0.738,0.029
wisconsin,0.969,0.011,0.967,0.013,0.969,0.011,0.968,0.011,0.966,0.014,0.966,0.014
yeast1,0.519,0.010,0.514,0.008,0.514,0.009,0.516,0.007,0.518,0.008,0.518,0.008
yeast3,0.605,0.045,0.630,0.145,0.561,0.022,0.630,0.092,0.823,0.121,0.813,0.116
