dataset,reg,regd,us,usd,os,osd,ereg,eregd,ewei,eweid,ecwei,ecweid,enwei,enweid,encwei,encweid,eregr,eregrd,eweir,eweird,ecweir,ecweird,enweir,enweird,encweir,encweird,eregos,eregosd,eweios,eweiosd,ecweios,ecweiosd,enweios,enweiosd,encweios,encweiosd,eregros,eregrosd,eweiros,eweirosd,ecweiros,ecweirosd,enweiros,enweirosd,encweiros,encweirosd
ecoli-0-1-3-7-vs-2-6,.200,.200,.140,.140,.192,.192,.182,.182,.182,.182,.183,.183,.184,.184,.182,.182,.186,.186,.186,.186,.181,.181,.187,.187,.183,.183,.185,.185,.185,.185,.189,.189,.190,.190,.190,.190,.183,.183,.184,.184,.185,.185,.183,.183,\cellcolor{green!25}.180,.180
ecoli4,.122,.122,.018,.018,.062,.062,.016,.016,.016,.016,.016,.016,.008,.008,.008,.008,.019,.019,.019,.019,.019,.019,.012,.012,.019,.019,.013,.013,.015,.015,.051,.051,.064,.064,.065,.065,.018,.018,.018,.018,.020,.020,\cellcolor{green!25}.012,.012,.047,.047
glass-0-1-6-vs-2,.068,.068,.041,.041,.077,.077,.039,.039,.043,.043,.063,.063,.048,.048,.046,.046,.048,.048,.049,.049,.037,.037,.053,.053,.054,.054,.087,.087,.056,.056,.047,.047,.101,.101,.101,.101,.075,.075,.077,.077,.094,.094,.056,.056,\cellcolor{green!25}.063,.063
glass-0-1-6-vs-5,.163,.163,.066,.066,\cellcolor{green!25}.099,.099,.101,.101,.101,.101,.102,.102,.040,.040,.035,.035,.103,.103,.103,.103,.103,.103,.103,.103,.103,.103,.086,.086,.070,.070,.086,.086,.095,.095,.095,.095,.098,.098,.098,.098,.101,.101,.101,.101,.102,.102
glass2,.015,.015,.037,.037,.067,.067,.077,.077,.077,.077,.076,.076,.063,.063,.067,.067,.061,.061,.065,.065,.070,.070,.061,.061,.068,.068,.077,.077,.080,.080,\cellcolor{green!25}.107,.107,.121,.121,.121,.121,.080,.080,.091,.091,.080,.080,.119,.119,.115,.115
glass4,.127,.127,.103,.103,\cellcolor{green!25}.089,.089,.112,.112,.112,.112,.107,.107,.084,.084,.092,.092,.112,.112,.112,.112,.112,.112,.112,.112,.108,.108,.107,.107,.107,.107,.083,.083,.094,.094,.095,.095,.112,.112,.112,.112,.107,.107,.121,.121,.115,.115
glass5,.186,.186,.093,.093,.202,.202,.122,.122,.122,.122,.122,.122,.119,.119,.119,.119,.122,.122,.122,.122,.027,.027,.122,.122,.027,.027,.134,.134,.146,.146,\cellcolor{green!25}.148,.148,.162,.162,.148,.148,.118,.118,.118,.118,.123,.123,.122,.122,.123,.123
page-blocks-1-3-vs-4,.089,.089,.031,.031,.038,.038,.037,.037,.035,.035,.034,.034,.027,.027,.028,.028,.030,.030,.030,.030,.030,.030,.024,.024,.033,.033,.031,.031,.029,.029,\cellcolor{green!25}.025,.025,.035,.035,.038,.038,.033,.033,.029,.029,.039,.039,.027,.027,.029,.029
shuttle-c0-vs-c4,\cellcolor{green!25}.008,.008,.008,.008,.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008,\cellcolor{green!25}.008,.008
shuttle-c2-vs-c4,.200,.200,.057,.057,\cellcolor{green!25}.000,.000,.052,.052,.052,.052,.052,.052,.070,.070,.054,.054,.065,.065,.072,.072,.052,.052,.072,.072,.052,.052,.072,.072,.072,.072,\cellcolor{green!25}.000,.000,\cellcolor{green!25}.000,.000,\cellcolor{green!25}.000,.000,.074,.074,.074,.074,.079,.079,.082,.082,.042,.042
