dataset,reg,regd,us,usd,os,osd,ereg,eregd,ewei,eweid,ecwei,ecweid,enwei,enweid,encwei,encweid,eregr,eregrd,eweir,eweird,ecweir,ecweird,enweir,enweird,encweir,encweird,eregos,eregosd,eweios,eweiosd,ecweios,ecweiosd,enweios,enweiosd,encweios,encweiosd,eregros,eregrosd,eweiros,eweirosd,ecweiros,ecweirosd,enweiros,enweirosd,encweiros,encweirosd
vowel0,.027,.027,.006,.006,\cellcolor{green!25}.001,.001,.007,.007,.007,.007,.008,.008,.007,.007,.008,.008,.007,.007,.007,.007,.010,.010,.009,.009,.008,.008,.009,.009,.008,.008,.010,.010,.002,.002,.003,.003,.009,.009,.009,.009,.008,.008,.012,.012,.011,.011
yeast-0-5-6-7-9-vs-4,.079,.079,.049,.049,.054,.054,.054,.054,.054,.054,.051,.051,.053,.053,.053,.053,.053,.053,.053,.053,.055,.055,.036,.036,.038,.038,.055,.055,.042,.042,\cellcolor{green!25}.047,.047,.058,.058,.062,.062,.060,.060,.058,.058,.047,.047,.061,.061,.063,.063
yeast-1-2-8-9-vs-7,.001,.001,.056,.056,.069,.069,.108,.108,.107,.107,.112,.112,.104,.104,.103,.103,.101,.101,.102,.102,.097,.097,.103,.103,.099,.099,\cellcolor{green!25}.074,.074,.079,.079,.071,.071,.069,.069,.071,.071,.079,.079,.076,.076,.079,.079,.073,.073,.089,.089
yeast-1-4-5-8-vs-7,.002,.002,.058,.058,.088,.088,.073,.073,.073,.073,.074,.074,.066,.066,.069,.069,.067,.067,.069,.069,.074,.074,.064,.064,.068,.068,\cellcolor{green!25}.061,.061,.066,.066,.084,.084,.085,.085,.085,.085,.063,.063,.068,.068,.072,.072,.046,.046,.085,.085
yeast-1-vs-7,.033,.033,.050,.050,.087,.087,.059,.059,.059,.059,.060,.060,.033,.033,.019,.019,.077,.077,.080,.080,.083,.083,\cellcolor{green!25}.083,.083,.088,.088,.068,.068,.086,.086,.087,.087,.087,.087,.085,.085,.060,.060,.051,.051,.070,.070,.078,.078,.083,.083
yeast-2-vs-4,.040,.040,.030,.030,.048,.048,.037,.037,.037,.037,.035,.035,.038,.038,.036,.036,.037,.037,.037,.037,.035,.035,.036,.036,.035,.035,.036,.036,\cellcolor{green!25}.037,.037,.033,.033,.042,.042,.041,.041,.038,.038,.037,.037,.032,.032,.026,.026,.026,.026
yeast-2-vs-8,.092,.092,.086,.086,.120,.120,.115,.115,.104,.104,.112,.112,.098,.098,.098,.098,.106,.106,.107,.107,.106,.106,.104,.104,.103,.103,.098,.098,.098,.098,.098,.098,.119,.119,\cellcolor{green!25}.118,.118,.104,.104,.100,.100,.100,.100,.103,.103,.100,.100
yeast4,.045,.045,.036,.036,.094,.094,.025,.025,.025,.025,.021,.021,.025,.025,.021,.021,.025,.025,.025,.025,.024,.024,.025,.025,.027,.027,.027,.027,.027,.027,\cellcolor{green!25}.046,.046,.068,.068,.068,.068,.025,.025,.026,.026,.022,.022,.037,.037,.037,.037
yeast5,.056,.056,.004,.004,.025,.025,.004,.004,.004,.004,.003,.003,.004,.004,.003,.003,.004,.004,.004,.004,.005,.005,.003,.003,.004,.004,.002,.002,.003,.003,.003,.003,.007,.007,\cellcolor{green!25}.004,.004,.004,.004,.004,.004,.005,.005,.002,.002,.002,.002
yeast6,.098,.098,.051,.051,.091,.091,.053,.053,.053,.053,.053,.053,.053,.053,.052,.052,.053,.053,.053,.053,.053,.053,.054,.054,.054,.054,.057,.057,\cellcolor{green!25}.058,.058,.050,.050,.076,.076,.075,.075,.054,.054,.055,.055,.055,.055,.054,.054,.053,.053
ecoli-0-1-4-6-vs-5,.092,.092,.085,.085,\cellcolor{green!25}.097,.097,.095,.095,.095,.095,.097,.097,.097,.097,.097,.097,.095,.095,.095,.095,.095,.095,.097,.097,.095,.095,.095,.095,.097,.097,.097,.097,.098,.098,.095,.095,.095,.095,.095,.095,.095,.095,.097,.097,.097,.097
ecoli-0-1-4-7-vs-2-3-5-6,.027,.027,.043,.043,.054,.054,.058,.058,.058,.058,.062,.062,.059,.059,.060,.060,.057,.057,.057,.057,.058,.058,.054,.054,.058,.058,.068,.068,.068,.068,.063,.063,.043,.043,.043,.043,.068,.068,.066,.066,.065,.065,\cellcolor{green!25}.065,.065,.062,.062
ecoli-0-1-4-7-vs-5-6,.135,.135,.024,.024,.038,.038,.037,.037,.036,.036,.035,.035,.036,.036,.037,.037,.040,.040,.040,.040,.041,.041,\cellcolor{green!25}.038,.038,.041,.041,.031,.031,.028,.028,.034,.034,.031,.031,.032,.032,.043,.043,.043,.043,.044,.044,.022,.022,.025,.025
ecoli-0-1-vs-2-3-5,.060,.060,.076,.076,.082,.082,\cellcolor{green!25}.083,.083,\cellcolor{green!25}.083,.083,.074,.074,.074,.074,.074,.074,\cellcolor{green!25}.083,.083,\cellcolor{green!25}.083,.083,.079,.079,.074,.074,.076,.076,.082,.082,.080,.080,.080,.080,.079,.079,.079,.079,.095,.095,.095,.095,.095,.095,.093,.093,.090,.090
ecoli-0-1-vs-5,.094,.094,.059,.059,\cellcolor{green!25}.065,.065,.069,.069,.069,.069,.069,.069,.066,.066,.064,.064,.069,.069,.069,.069,.069,.069,.066,.066,.066,.066,.067,.067,.064,.064,.064,.064,.062,.062,.062,.062,.067,.067,.067,.067,.067,.067,.064,.064,.062,.062
ecoli-0-2-3-4-vs-5,.130,.130,.097,.097,\cellcolor{green!25}.102,.102,.110,.110,.110,.110,.110,.110,.110,.110,.110,.110,.110,.110,.110,.110,.108,.108,.110,.110,.110,.110,.106,.106,.106,.106,.108,.108,.106,.106,.106,.106,.108,.108,.106,.106,.108,.108,.106,.106,.106,.106
ecoli-0-2-6-7-vs-3-5,.054,.054,.107,.107,\cellcolor{green!25}.050,.050,.094,.094,.095,.095,.106,.106,.111,.111,.111,.111,.101,.101,.102,.102,.109,.109,.114,.114,.111,.111,.082,.082,.082,.082,.073,.073,.076,.076,.078,.078,.090,.090,.091,.091,.089,.089,.077,.077,.076,.076
ecoli-0-3-4-6-vs-5,.079,.079,.070,.070,\cellcolor{green!25}.062,.062,.073,.073,.073,.073,.073,.073,.066,.066,.066,.066,.063,.063,.063,.063,.063,.063,.060,.060,.058,.058,.060,.060,.060,.060,.065,.065,.062,.062,.060,.060,.060,.060,.060,.060,.060,.060,.066,.066,.062,.062
ecoli-0-3-4-7-vs-5-6,.120,.120,.102,.102,.116,.116,.115,.115,.115,.115,.119,.119,.120,.120,.116,.116,.095,.095,.095,.095,.095,.095,.085,.085,\cellcolor{green!25}.081,.081,.101,.101,.105,.105,.100,.100,.108,.108,.108,.108,.129,.129,.129,.129,.120,.120,.106,.106,.102,.102
ecoli-0-3-4-vs-5,.112,.112,.100,.100,\cellcolor{green!25}.100,.100,.100,.100,.100,.100,.100,.100,.108,.108,.106,.106,.106,.106,.106,.106,.104,.104,.107,.107,.104,.104,.107,.107,.107,.107,.105,.105,.105,.105,.105,.105,.107,.107,.107,.107,.107,.107,.107,.107,.105,.105
ecoli-0-4-6-vs-5,.094,.094,.076,.076,\cellcolor{green!25}.092,.092,.100,.100,.100,.100,.100,.100,.102,.102,.101,.101,.104,.104,.104,.104,.106,.106,.106,.106,.106,.106,.106,.106,.106,.106,.106,.106,.110,.110,.105,.105,.106,.106,.106,.106,.106,.106,.109,.109,.110,.110
ecoli-0-6-7-vs-3-5,.161,.161,.146,.146,\cellcolor{green!25}.116,.116,.159,.159,.160,.160,.152,.152,.145,.145,.148,.148,.155,.155,.155,.155,.150,.150,.148,.148,.149,.149,.163,.163,.163,.163,.155,.155,.144,.144,.144,.144,.163,.163,.163,.163,.155,.155,.151,.151,.144,.144
ecoli-0-6-7-vs-5,.049,.049,.074,.074,.040,.040,.093,.093,.093,.093,.093,.093,.090,.090,.093,.093,.082,.082,.082,.082,.085,.085,.082,.082,.082,.082,.080,.080,.078,.078,\cellcolor{green!25}.071,.071,.068,.068,.063,.063,.077,.077,.079,.079,.074,.074,.077,.077,.068,.068
glass-0-1-4-6-vs-2,.057,.057,.044,.044,.067,.067,.050,.050,.052,.052,.050,.050,.048,.048,.051,.051,.045,.045,.045,.045,.041,.041,.047,.047,.049,.049,.075,.075,\cellcolor{green!25}.060,.060,.085,.085,.092,.092,.095,.095,.041,.041,.035,.035,.091,.091,.046,.046,.087,.087
glass-0-1-5-vs-2,.071,.071,.053,.053,.075,.075,.067,.067,.067,.067,.067,.067,.052,.052,.048,.048,.072,.072,.071,.071,.079,.079,.069,.069,.065,.065,.080,.080,.090,.090,.076,.076,.105,.105,.097,.097,.079,.079,.083,.083,.069,.069,.088,.088,\cellcolor{green!25}.082,.082
glass-0-4-vs-5,.122,.122,.050,.050,\cellcolor{green!25}.015,.015,.035,.035,.042,.042,.044,.044,.042,.042,.044,.044,.044,.044,.037,.037,.037,.037,.037,.037,.037,.037,.047,.047,.047,.047,.047,.047,.047,.047,.047,.047,.042,.042,.042,.042,.047,.047,.047,.047,.047,.047
glass-0-6-vs-5,.158,.158,.027,.027,\cellcolor{green!25}.012,.012,.024,.024,.024,.024,.024,.024,.024,.024,.024,.024,.026,.026,.026,.026,.024,.024,.033,.033,.024,.024,.021,.021,.028,.028,.054,.054,\cellcolor{green!25}.012,.012,\cellcolor{green!25}.012,.012,.021,.021,.021,.021,.021,.021,.044,.044,.050,.050
yeast-0-2-5-6-vs-3-7-8-9,.049,.049,.043,.043,.051,.051,.046,.046,.046,.046,.045,.045,.048,.048,.046,.046,.042,.042,.042,.042,.042,.042,.044,.044,.044,.044,.042,.042,\cellcolor{green!25}.045,.045,.035,.035,.041,.041,.041,.041,.045,.045,.046,.046,.040,.040,.042,.042,.043,.043
yeast-0-2-5-7-9-vs-3-6-8,.023,.023,.020,.020,.015,.015,.019,.019,.019,.019,.019,.019,.020,.020,.021,.021,.017,.017,.017,.017,.017,.017,.015,.015,.018,.018,.022,.022,.027,.027,.024,.024,.006,.006,.007,.007,\cellcolor{green!25}.018,.018,.018,.018,.017,.017,.010,.010,.010,.010
yeast-0-3-5-9-vs-7-8,.059,.059,.036,.036,.047,.047,.033,.033,.033,.033,.039,.039,.034,.034,.040,.040,.040,.040,.040,.040,.045,.045,.042,.042,.051,.051,.046,.046,.049,.049,.051,.051,.058,.058,.060,.060,\cellcolor{green!25}.032,.032,.032,.032,.056,.056,.064,.064,.067,.067
